strain	virus	gisaid_epi_isl	date	region	country	division	pangolin_lineage
hCoV-19/Ghana/WACCBIP-GS505/2021	betacoronavirus	EPI_ISL_10438557	2021-02-13	Africa	Ghana	Northern Region	A.27
hCoV-19/Ghana/WACCBIP-GS507/2021	betacoronavirus	EPI_ISL_10438559	2021-02-15	Africa	Ghana	Northern Region	A.27
hCoV-19/Ghana/WACCBIP-GS516/2021	betacoronavirus	EPI_ISL_10438565	2021-02-15	Africa	Ghana	Northern Region	A.27
hCoV-19/Ghana/WACCBIP-GS522/2021	betacoronavirus	EPI_ISL_10438568	2021-02-11	Africa	Ghana	Northern Region	A.27
hCoV-19/Ghana/WACCBIP-GS531/2021	betacoronavirus	EPI_ISL_10438573	2021-01-29	Africa	Ghana	Northern Region	A.27
hCoV-19/Ghana/WACCBIP-GS536/2021	betacoronavirus	EPI_ISL_10438577	2021-02-12	Africa	Ghana	Northern Region	A.27
hCoV-19/Ghana/WACCBIP-GS549/2021	betacoronavirus	EPI_ISL_10438586	2021-01-29	Africa	Ghana	Northern Region	A.27
hCoV-19/USA/IA-SHL-1607883/2021	betacoronavirus	EPI_ISL_11241929	2021-03-01	North America	USA	Iowa	A.29
hCoV-19/USA/IA-SHL-1619428/2021	betacoronavirus	EPI_ISL_11249122	2021-03-06	North America	USA	Iowa	A.21
hCoV-19/Canada/BC-BCCDC-370012/2021	betacoronavirus	EPI_ISL_11362617	2021-01-28	North America	Canada	British Columbia	A.23.1
hCoV-19/Canada/BC-BCCDC-370013/2021	betacoronavirus	EPI_ISL_11362618	2021-01-28	North America	Canada	British Columbia	A.23.1
hCoV-19/Canada/BC-BCCDC-370016/2021	betacoronavirus	EPI_ISL_11362621	2021-01-27	North America	Canada	British Columbia	A.23.1
hCoV-19/Canada/BC-BCCDC-370034/2021	betacoronavirus	EPI_ISL_11362635	2021-02-01	North America	Canada	British Columbia	A.23.1
hCoV-19/Canada/BC-BCCDC-370214/2021	betacoronavirus	EPI_ISL_11362797	2021-02-04	North America	Canada	British Columbia	A.23.1
hCoV-19/Canada/BC-BCCDC-370498/2021	betacoronavirus	EPI_ISL_11363051	2021-02-14	North America	Canada	British Columbia	A.23.1
hCoV-19/Canada/BC-BCCDC-370501/2021	betacoronavirus	EPI_ISL_11363054	2021-02-14	North America	Canada	British Columbia	A.23.1
hCoV-19/Gabon/W0496/2021	betacoronavirus	EPI_ISL_11522507	2021-01-18	Africa	Gabon	Lambarene	A.21
hCoV-19/Gabon/W0475/2021	betacoronavirus	EPI_ISL_11522678	2021-01-16	Africa	Gabon	Lambarene	A.21
hCoV-19/Gabon/X0177/2021	betacoronavirus	EPI_ISL_11522686	2021-02-09	Africa	Gabon	Lambarene	A.21
hCoV-19/Gabon/W0954/2021	betacoronavirus	EPI_ISL_11522754	2021-02-05	Africa	Gabon	Lambarene	A.21
hCoV-19/Gabon/W0998/2021	betacoronavirus	EPI_ISL_11522755	2021-02-05	Africa	Gabon	Lambarene	A.21
hCoV-19/Gabon/X0236/2021	betacoronavirus	EPI_ISL_11522757	2021-02-10	Africa	Gabon	Lambarene	A.21
hCoV-19/Gabon/X0241/2021	betacoronavirus	EPI_ISL_11522758	2021-02-10	Africa	Gabon	Lambarene	A.21
hCoV-19/Gabon/W0415/2021	betacoronavirus	EPI_ISL_11522785	2021-01-15	Africa	Gabon	Lambarene	A.21
hCoV-19/Gabon/W0750/2021	betacoronavirus	EPI_ISL_11522786	2021-01-27	Africa	Gabon	Lambarene	A.21
hCoV-19/Gabon/W0182/2021	betacoronavirus	EPI_ISL_11522790	2021-01-08	Africa	Gabon	Lambarene	A.21
hCoV-19/Panama/PA699172-GMI/2021	betacoronavirus	EPI_ISL_11686171	2021-02-07	Caribbean	Panama	Colon	A.2.5
hCoV-19/Panama/PA699197-GMI/2021	betacoronavirus	EPI_ISL_11686172	2021-02-07	Caribbean	Panama	San Miguelito	A.2.5
hCoV-19/Panama/PA699285-GMI/2021	betacoronavirus	EPI_ISL_11686173	2021-02-08	Caribbean	Panama	Panama City	A.2.5.2
hCoV-19/Panama/PA700415-GMI/2021	betacoronavirus	EPI_ISL_11686174	2021-02-09	Caribbean	Panama	Panama City	A.2.5
hCoV-19/Panama/GMI-PAFQ003/2021	betacoronavirus	EPI_ISL_11696315	2021-02-19	Caribbean	Panama	Colon	A.2.5
hCoV-19/Panama/GMI-PAFQ004/2021	betacoronavirus	EPI_ISL_11696316	2021-02-18	Caribbean	Panama	Colon	A.2.5
hCoV-19/Panama/GMI-PAFQ011/2021	betacoronavirus	EPI_ISL_11696318	2021-02-26	Caribbean	Panama	Colon	A.2.5
hCoV-19/Panama/GMI-PAFQ012/2021	betacoronavirus	EPI_ISL_11696319	2021-01-14	Caribbean	Panama	Colon	A.2.5.1
hCoV-19/Panama/GMI-PAFQ013/2021	betacoronavirus	EPI_ISL_11696320	2021-02-22	Caribbean	Panama	Colon	A.2.5
hCoV-19/Panama/GMI-PAFQ014/2021	betacoronavirus	EPI_ISL_11696321	2021-02-24	Caribbean	Panama	Colon	A.2.5
hCoV-19/Panama/GMI-PAFQ016/2021	betacoronavirus	EPI_ISL_11696322	2021-02-24	Caribbean	Panama	Colon	A.2.5
hCoV-19/Panama/GMI-PAFQ017/2021	betacoronavirus	EPI_ISL_11696323	2021-02-23	Caribbean	Panama	Colon	A.2.5
hCoV-19/Panama/GMI-PAFQ019/2021	betacoronavirus	EPI_ISL_11696324	2021-02-23	Caribbean	Panama	Colon	A.2.5
hCoV-19/Panama/GMI-PAFQ020/2021	betacoronavirus	EPI_ISL_11696325	2021-02-23	Caribbean	Panama	Colon	A.2.5
hCoV-19/Panama/GMI-PAFQ021/2021	betacoronavirus	EPI_ISL_11696326	2021-02-22	Caribbean	Panama	Colon	A.2.5
hCoV-19/Panama/GMI-PAFQ027/2021	betacoronavirus	EPI_ISL_11696327	2021-02-19	Caribbean	Panama	Colon	A.2.5
hCoV-19/Panama/GMI-PAFQ029/2021	betacoronavirus	EPI_ISL_11696328	2021-02-16	Caribbean	Panama	Colon	A.2.5
hCoV-19/Panama/GMI-PAFQ030/2021	betacoronavirus	EPI_ISL_11696329	2021-02-20	Caribbean	Panama	Colon	A.2.5
hCoV-19/Panama/GMI-PAFQ031/2021	betacoronavirus	EPI_ISL_11696330	2021-02-24	Caribbean	Panama	Colon	A.2.5
hCoV-19/Panama/GMI-PAFQ033/2021	betacoronavirus	EPI_ISL_11696331	2021-02-23	Caribbean	Panama	Colon	A.2.5
hCoV-19/Panama/GMI-PAFQ034/2021	betacoronavirus	EPI_ISL_11696332	2021-02-18	Caribbean	Panama	Colon	A.2.5
hCoV-19/Panama/GMI-PAFQ037/2021	betacoronavirus	EPI_ISL_11696333	2021-01-16	Caribbean	Panama	Colon	A.2.5
hCoV-19/Panama/GMI-PAFQ108/2021	betacoronavirus	EPI_ISL_11696347	2021-02-17	Caribbean	Panama	Colon	A.2.5
hCoV-19/Tunisia/B1388/2021	betacoronavirus	EPI_ISL_11782561	2021-03-09	Africa	Tunisia	Tunis	A.27
hCoV-19/Kenya/BUS-MTY-PRIS-255/2021	betacoronavirus	EPI_ISL_12221312	2021-01-29	Africa	Kenya	Busia	A.23.1
hCoV-19/Senegal/180227/2021	betacoronavirus	EPI_ISL_12240055	2021-02-17	Africa	Senegal	Dakar	A.27
hCoV-19/Senegal/156123/2021	betacoronavirus	EPI_ISL_12240056	2021-01-22	Africa	Senegal	Dakar	A.27
hCoV-19/Tunisia/Tunis/Q-5516/2021	betacoronavirus	EPI_ISL_12316665	2021-02-02	Africa	Tunisia	Tunis	A.27
hCoV-19/Tunisia/Tunis/Q-9052/2021	betacoronavirus	EPI_ISL_12316666	2021-02-23	Africa	Tunisia	Tunis	A.27
hCoV-19/Tunisia/Tunis/Q-9081/2021	betacoronavirus	EPI_ISL_12316667	2021-02-23	Africa	Tunisia	Tunis	A.27
hCoV-19/Tunisia/Tunis/Q-9082/2021	betacoronavirus	EPI_ISL_12316668	2021-02-23	Africa	Tunisia	Tunis	A.27
hCoV-19/Tunisia/Tunis/Q-9581/2021	betacoronavirus	EPI_ISL_12316669	2021-02-25	Africa	Tunisia	Tunis	A.27
hCoV-19/Tunisia/Siliana/Q-9993/2021	betacoronavirus	EPI_ISL_12316670	2021-03-01	Africa	Tunisia	Silina	A.27
hCoV-19/USA/OH-CWRU_CICB21016_CB12/2021	betacoronavirus	EPI_ISL_12828328	2021-01-12	North America	USA	Ohio	A
hCoV-19/Senegal/SN-IR2-0014026/2021	betacoronavirus	EPI_ISL_13307493	2021-03-01	Africa	Senegal	Dakar	A.27
hCoV-19/Turkey/Ankara-1717_314/2021	betacoronavirus	EPI_ISL_13479600	2021-03-01	Europe	Turkey	Ankara	A.27
hCoV-19/Italy/SIC-AOUP-UNIPA-59327/2021	betacoronavirus	EPI_ISL_13531869	2021-02-19	Europe	Italy	Sicily	A.27
hCoV-19/Italy/SIC-AOUP-UNIPA-59502/2021	betacoronavirus	EPI_ISL_13531870	2021-02-19	Europe	Italy	Sicily	A.27
hCoV-19/Italy/SIC-AOUP-UNIPA-61739/2021	betacoronavirus	EPI_ISL_13531871	2021-03-11	Europe	Italy	Sicily	A.27
hCoV-19/Mauritius/P2336/2021	betacoronavirus	EPI_ISL_13833231	2021-01-06	Africa	Mauritius	NA	A.23.1
hCoV-19/CanaryIslands/CN-HUNSC_ITER_150119712/2021	betacoronavirus	EPI_ISL_14073439	2021-01-12	Europe	Canary Islands	NA	A.2.5
hCoV-19/CanaryIslands/CN-HUNSC_ITER_150119750/2021	betacoronavirus	EPI_ISL_14073547	2021-01-20	Europe	Canary Islands	NA	A.2.5
hCoV-19/CanaryIslands/CN-HUNSC_ITER_900209699/2021	betacoronavirus	EPI_ISL_14073608	2021-01-22	Europe	Canary Islands	NA	A.2.5
hCoV-19/CanaryIslands/CN-HUNSC_ITER_900159962/2021	betacoronavirus	EPI_ISL_14073679	2021-01-30	Europe	Canary Islands	NA	A.2.5
hCoV-19/CanaryIslands/CN-HUNSC_ITER_900160046/2021	betacoronavirus	EPI_ISL_14073685	2021-02-07	Europe	Canary Islands	NA	A.2.5
hCoV-19/CanaryIslands/CN-HUNSC_ITER_900160041/2021	betacoronavirus	EPI_ISL_14073703	2021-02-07	Europe	Canary Islands	NA	A.2.5
hCoV-19/CanaryIslands/CN-HUNSC_ITER_900263915/2021	betacoronavirus	EPI_ISL_14091564	2021-03-05	Europe	Canary Islands	NA	A.2.5
hCoV-19/Bahrain/5901599688/2021	betacoronavirus	EPI_ISL_14132966	2021-02-18	Asia	Bahrain	NA	A.28
hCoV-19/Senegal/145247/2021	betacoronavirus	EPI_ISL_14598420	2021-01-03	Africa	Senegal	Dakar	A
hCoV-19/Senegal/191499/2021	betacoronavirus	EPI_ISL_14598619	2021-03-03	Africa	Senegal	Dakar	A.21
hCoV-19/Sudan/SS1712/2021	betacoronavirus	EPI_ISL_14620347	2021-02-01	Africa	Sudan	NA	A.29
hCoV-19/Canada/NB-CHUDGLD-0401-MM242/2021	betacoronavirus	EPI_ISL_15229156	2021-01-04	North America	Canada	New Brunswick	A.23.1
hCoV-19/Canada/NB-CHUDGLD-0401-MM209/2021	betacoronavirus	EPI_ISL_15229158	2021-01-04	North America	Canada	New Brunswick	A.23.1
hCoV-19/Canada/NB-CHUDGLD-0401-MM219/2021	betacoronavirus	EPI_ISL_15229159	2021-01-04	North America	Canada	New Brunswick	A.23.1
hCoV-19/Canada/NB-CHUDGLD-0401-MM330/2021	betacoronavirus	EPI_ISL_15229161	2021-01-04	North America	Canada	New Brunswick	A.23.1
hCoV-19/Canada/NB-CHUDGLD-0401-MM156/2021	betacoronavirus	EPI_ISL_15229163	2021-01-04	North America	Canada	New Brunswick	A.23.1
hCoV-19/Canada/NB-CHUDGLD-0401-MM237/2021	betacoronavirus	EPI_ISL_15229166	2021-01-04	North America	Canada	New Brunswick	A.23.1
hCoV-19/Kenya/KEM-21-01-90842/2021	betacoronavirus	EPI_ISL_15266621	2021-01-27	Africa	Kenya	Nairobi	A.23.1
hCoV-19/Kenya/ILRI_C23476/2021	betacoronavirus	EPI_ISL_15422210	2021-03-02	Africa	Kenya	Kiambu	A.23.1
hCoV-19/Spain/AN-CBA-00307/2021	betacoronavirus	EPI_ISL_15614732	2021-02-09	Europe	Spain	Andalusia	A.23.1
hCoV-19/Spain/AN-CBA-00386/2021	betacoronavirus	EPI_ISL_15614830	2021-02-15	Europe	Spain	Andalusia	A.23.1
hCoV-19/Spain/AN-CBA-00587/2021	betacoronavirus	EPI_ISL_15616304	2021-02-16	Europe	Spain	Andalusia	A.21
hCoV-19/Spain/AN-CBA-00925/2021	betacoronavirus	EPI_ISL_15630001	2021-03-04	Europe	Spain	Andalusia	A.23.1
hCoV-19/Panama/CDED10317-GMI/2021	betacoronavirus	EPI_ISL_16027344	2021-01-02	Caribbean	Panama	Darien	A.2.5
hCoV-19/Germany/BW-RKI-I-1045737/2021	betacoronavirus	EPI_ISL_16139697	2021-02-14	Europe	Germany	Baden-Wurttemberg	A
hCoV-19/Germany/BW-RKI-I-1052787/2021	betacoronavirus	EPI_ISL_16146744	2021-03-01	Europe	Germany	Baden-Wurttemberg	A.27
hCoV-19/USA/CA-CDPH-3000012455/2021	betacoronavirus	EPI_ISL_16338454	2021-02-17	North America	USA	California	A.2.5
hCoV-19/Libya/421067002/2021	betacoronavirus	EPI_ISL_16648356	2021-02-25	Africa	Libya	Tripoli	A.29
hCoV-19/Libya/421067036/2021	betacoronavirus	EPI_ISL_16648364	2021-02-25	Africa	Libya	Tripoli	A.29
hCoV-19/Libya/421067015/2021	betacoronavirus	EPI_ISL_16652176	2021-02-25	Africa	Libya	Tripoli	A.27
hCoV-19/Libya/421067018/2021	betacoronavirus	EPI_ISL_16652177	2021-02-25	Africa	Libya	Tripoli	A.27
hCoV-19/Libya/421067023/2021	betacoronavirus	EPI_ISL_16652179	2021-02-25	Africa	Libya	Tripoli	A.27
hCoV-19/Libya/421067025/2021	betacoronavirus	EPI_ISL_16652180	2021-02-25	Africa	Libya	Tripoli	A.27
hCoV-19/Libya/421067026/2021	betacoronavirus	EPI_ISL_16652181	2021-02-25	Africa	Libya	Tripoli	A.27
hCoV-19/Libya/421067028/2021	betacoronavirus	EPI_ISL_16652182	2021-02-25	Africa	Libya	Tripoli	A.27
hCoV-19/Libya/421067032/2021	betacoronavirus	EPI_ISL_16652183	2021-02-25	Africa	Libya	Tripoli	A.27
hCoV-19/Libya/421067041/2021	betacoronavirus	EPI_ISL_16652185	2021-02-25	Africa	Libya	Tripoli	A.27
hCoV-19/Libya/421067042/2021	betacoronavirus	EPI_ISL_16652186	2021-02-25	Africa	Libya	Tripoli	A.27
hCoV-19/Libya/421067044/2021	betacoronavirus	EPI_ISL_16652187	2021-02-25	Africa	Libya	Tripoli	A.27
hCoV-19/Switzerland/AR-UHB-724906500/2021	betacoronavirus	EPI_ISL_2484581	2021-01-23	Europe	Switzerland	Appenzell Ausserrhoden	A.27
hCoV-19/Switzerland/SG-UHB-724907300/2021	betacoronavirus	EPI_ISL_2484583	2021-01-23	Europe	Switzerland	St Gall	A.27
hCoV-19/Switzerland/SG-UHB-725714400/2021	betacoronavirus	EPI_ISL_2484607	2021-01-26	Europe	Switzerland	St Gall	A.27
hCoV-19/Canada/BC-BCCDC-35835/2021	betacoronavirus	EPI_ISL_2498514	2021-01-27	North America	Canada	British Columbia	A.23.1
hCoV-19/Canada/BC-BCCDC-35900/2021	betacoronavirus	EPI_ISL_2498562	2021-01-28	North America	Canada	British Columbia	A.23.1
hCoV-19/Canada/BC-BCCDC-36045/2021	betacoronavirus	EPI_ISL_2498639	2021-01-24	North America	Canada	British Columbia	A.23.1
hCoV-19/Canada/BC-BCCDC-36061/2021	betacoronavirus	EPI_ISL_2498651	2021-01-27	North America	Canada	British Columbia	A.23.1
hCoV-19/Canada/BC-BCCDC-36062/2021	betacoronavirus	EPI_ISL_2498652	2021-01-24	North America	Canada	British Columbia	A.23.1
hCoV-19/Canada/BC-BCCDC-36063/2021	betacoronavirus	EPI_ISL_2498653	2021-01-24	North America	Canada	British Columbia	A.23.1
hCoV-19/Canada/BC-BCCDC-36064/2021	betacoronavirus	EPI_ISL_2498654	2021-01-24	North America	Canada	British Columbia	A.23.1
hCoV-19/Canada/BC-BCCDC-36065/2021	betacoronavirus	EPI_ISL_2498655	2021-01-24	North America	Canada	British Columbia	A.23.1
hCoV-19/Canada/BC-BCCDC-36066/2021	betacoronavirus	EPI_ISL_2498656	2021-01-25	North America	Canada	British Columbia	A.23.1
hCoV-19/Canada/BC-BCCDC-36153/2021	betacoronavirus	EPI_ISL_2498707	2021-01-25	North America	Canada	British Columbia	A.23.1
hCoV-19/Canada/BC-BCCDC-37418/2021	betacoronavirus	EPI_ISL_2499602	2021-01-18	North America	Canada	British Columbia	A.23.1
hCoV-19/Canada/BC-BCCDC-37419/2021	betacoronavirus	EPI_ISL_2499603	2021-01-23	North America	Canada	British Columbia	A.23.1
hCoV-19/Canada/BC-BCCDC-37422/2021	betacoronavirus	EPI_ISL_2499605	2021-01-16	North America	Canada	British Columbia	A.23.1
hCoV-19/Canada/BC-BCCDC-37442/2021	betacoronavirus	EPI_ISL_2499618	2021-01-18	North America	Canada	British Columbia	A.21
hCoV-19/Cameroon/ICGEB-CIRCB_16120/2021	betacoronavirus	EPI_ISL_2504134	2021-01-21	Africa	Cameroon	Centre	A.27
hCoV-19/Finland/THL-202108815/2021	betacoronavirus	EPI_ISL_2505925	2021-03-02	Europe	Finland	NA	A.28
hCoV-19/England/TFCI-270AEE1/2021	betacoronavirus	EPI_ISL_2521214	2021-01-21	Europe	United Kingdom	England	A.23.1
hCoV-19/Canada/BC-BCCDC-25029/2021	betacoronavirus	EPI_ISL_2522307	2021-02-07	North America	Canada	British Columbia	A.23.1
hCoV-19/Canada/BC-BCCDC-25687/2021	betacoronavirus	EPI_ISL_2522759	2021-01-25	North America	Canada	British Columbia	A.23.1
hCoV-19/Canada/BC-BCCDC-26058/2021	betacoronavirus	EPI_ISL_2522969	2021-02-12	North America	Canada	British Columbia	A.23.1
hCoV-19/Canada/BC-BCCDC-37746/2021	betacoronavirus	EPI_ISL_2523968	2021-01-29	North America	Canada	British Columbia	A.23.1
hCoV-19/Canada/BC-BCCDC-37755/2021	betacoronavirus	EPI_ISL_2523973	2021-01-30	North America	Canada	British Columbia	A.23.1
hCoV-19/Canada/BC-BCCDC-37756/2021	betacoronavirus	EPI_ISL_2523974	2021-01-30	North America	Canada	British Columbia	A.23.1
hCoV-19/Canada/BC-BCCDC-38293/2021	betacoronavirus	EPI_ISL_2524252	2021-02-02	North America	Canada	British Columbia	A.23.1
hCoV-19/Italy/CAM-IZSM-RDV5014738456-GENOME/2021	betacoronavirus	EPI_ISL_2532673	2021-03-10	Europe	Italy	Campania	A.2.5.2
hCoV-19/USA/WA-CDC-4138967-001/2021	betacoronavirus	EPI_ISL_2533993	2021-01-27	North America	USA	Washington	A.2.5
hCoV-19/France/PAC-HCL0210320930/2021	betacoronavirus	EPI_ISL_2534140	2021-02-15	Europe	France	Provence-Alpes-Cote d'Azur	A.21
hCoV-19/Canada/NB-NML-3301/2021	betacoronavirus	EPI_ISL_2550524	2021-01-03	North America	Canada	New Brunswick	A.23.1
hCoV-19/USA/NY-PRL-2021_0614_52I05/2021	betacoronavirus	EPI_ISL_2633940	2021-01-07	North America	USA	New York	A.2.5.2
hCoV-19/France/IDF-HMN-21062040165/2021	betacoronavirus	EPI_ISL_2637522	2021-02-09	Europe	France	Ile-de-France	A.21
hCoV-19/CostaRica/INC-0310/2021	betacoronavirus	EPI_ISL_2657676	2021-02-15	Caribbean	Costa Rica	Heredia	A.2.4
hCoV-19/CostaRica/INC-0484/2021	betacoronavirus	EPI_ISL_2657679	2021-03-08	Caribbean	Costa Rica	Puntarenas	A.2.4
hCoV-19/CostaRica/INC-0487/2021	betacoronavirus	EPI_ISL_2657680	2021-03-11	Caribbean	Costa Rica	Puntarenas	A.2.4
hCoV-19/India/TG-CCMB-CIA3488/2021	betacoronavirus	EPI_ISL_2661070	2021-02-23	Asia	India	Telangana	A
hCoV-19/Mali/CICM9777/2021	betacoronavirus	EPI_ISL_2683495	2021-01-19	Africa	Mali	Bamako	A.21
hCoV-19/Mali/CICM9799/2021	betacoronavirus	EPI_ISL_2683497	2021-01-19	Africa	Mali	Bamako	A.21
hCoV-19/BurkinaFaso/M_LBC_3815/2021	betacoronavirus	EPI_ISL_2686354	2021-01-18	Africa	Burkina Faso	Bobo Dioulasso	A.21
hCoV-19/BurkinaFaso/M_LBC_3879/2021	betacoronavirus	EPI_ISL_2686357	2021-01-20	Africa	Burkina Faso	Bobo Dioulasso	A.21
hCoV-19/Norway/3747/2021	betacoronavirus	EPI_ISL_2688880	2021-02-12	Europe	Norway	Viken	A
hCoV-19/Norway/3750/2021	betacoronavirus	EPI_ISL_2688881	2021-02-13	Europe	Norway	Viken	A
hCoV-19/Norway/3755/2021	betacoronavirus	EPI_ISL_2688882	2021-02-13	Europe	Norway	Viken	A
hCoV-19/Norway/3761/2021	betacoronavirus	EPI_ISL_2688883	2021-02-12	Europe	Norway	Viken	A
hCoV-19/USA/MD-HP03119-PIDCRXPSJB/2021	betacoronavirus	EPI_ISL_2691757	2021-02-28	North America	USA	Maryland	A.2.5
hCoV-19/Jordan/Biolab0099/2021	betacoronavirus	EPI_ISL_2693980	2021-01-30	Asia	Jordan	Amman	A.28
hCoV-19/Bahrain/341509978/2021	betacoronavirus	EPI_ISL_2715288	2021-02-14	Asia	Bahrain	NA	A.28
hCoV-19/USA/NY-PRL-2021_0621_51F24/2021	betacoronavirus	EPI_ISL_2715424	2021-02-08	North America	USA	New York	A.2.5
hCoV-19/USA/NY-PRL-2021_0621_51J18/2021	betacoronavirus	EPI_ISL_2715473	2021-02-07	North America	USA	New York	A.28
hCoV-19/USA/NY-PRL-2021_0623_51M06/2021	betacoronavirus	EPI_ISL_2715908	2021-01-05	North America	USA	New York	A.2.5.2
hCoV-19/England/PHEC-158897/2021	betacoronavirus	EPI_ISL_2736905	2021-01-23	Europe	United Kingdom	England	A.23.1
hCoV-19/England/PHEC-158967/2021	betacoronavirus	EPI_ISL_2736918	2021-01-23	Europe	United Kingdom	England	A.23.1
hCoV-19/England/PHEC-15A5E9/2021	betacoronavirus	EPI_ISL_2737298	2021-01-23	Europe	United Kingdom	England	A.21
hCoV-19/England/PHESW-YYBYN5/2021	betacoronavirus	EPI_ISL_2749826	2021-03-12	Europe	United Kingdom	England	A.29
hCoV-19/France/PAC-IHU-13655_Nova1/2021	betacoronavirus	EPI_ISL_2756738	2021-03-01	Europe	France	Provence-Alpes-Cote d'Azur	A.21
hCoV-19/France/PAC-IHU-13659_Nova1/2021	betacoronavirus	EPI_ISL_2756739	2021-03-06	Europe	France	Provence-Alpes-Cote d'Azur	A.21
hCoV-19/Kenya/BUS-MTY-PRS-507/2021	betacoronavirus	EPI_ISL_2779285	2021-02-24	Africa	Kenya	Busia	A.23.1
hCoV-19/Kenya/PRT-MAL-39924/2021	betacoronavirus	EPI_ISL_2779292	2021-02-23	Africa	Kenya	Mombasa	A.23.1
hCoV-19/Kenya/BUS-MTY-PRS-445/2021	betacoronavirus	EPI_ISL_2779303	2021-02-24	Africa	Kenya	Busia	A.23.1
hCoV-19/Kenya/BUS-MTY-PRS-461/2021	betacoronavirus	EPI_ISL_2779304	2021-02-24	Africa	Kenya	Busia	A.23.1
hCoV-19/Kenya/BUS-MTY-PRS-471/2021	betacoronavirus	EPI_ISL_2779305	2021-02-24	Africa	Kenya	Busia	A.23.1
hCoV-19/Kenya/BUS-MTY-PRS-515/2021	betacoronavirus	EPI_ISL_2779306	2021-02-24	Africa	Kenya	Busia	A.23.1
hCoV-19/Kenya/BUS-MTY-PRS-517/2021	betacoronavirus	EPI_ISL_2779307	2021-02-24	Africa	Kenya	Busia	A.23.1
hCoV-19/USA/CA-CDPH-2000033216/2021	betacoronavirus	EPI_ISL_2797807	2021-01-28	North America	USA	California	A.2.5
hCoV-19/Zambia/ZMB-88653/2021	betacoronavirus	EPI_ISL_2803582	2021-01-24	Africa	Zambia	Muchinga	A.23.1
hCoV-19/Zambia/ZMB-88666/2021	betacoronavirus	EPI_ISL_2803585	2021-02-09	Africa	Zambia	Muchinga	A.23.1
hCoV-19/Zambia/ZMB-88668/2021	betacoronavirus	EPI_ISL_2803586	2021-01-24	Africa	Zambia	Muchinga	A.23.1
hCoV-19/Zambia/ZMB-88670/2021	betacoronavirus	EPI_ISL_2803588	2021-01-28	Africa	Zambia	Muchinga	A.23.1
hCoV-19/Mayotte/IPP00884i/2021	betacoronavirus	EPI_ISL_2812957	2021-01-13	Africa	Mayotte	NA	A.27
hCoV-19/Canada/QC-1nIOU-A6071046/2021	betacoronavirus	EPI_ISL_2822050	2021-02-07	North America	Canada	Quebec	A.2.5.2
hCoV-19/Canada/QC-1nMCY-S9122635/2021	betacoronavirus	EPI_ISL_2823545	2021-01-12	North America	Canada	Quebec	A.21
hCoV-19/Canada/QC-1nMCY-S9221299/2021	betacoronavirus	EPI_ISL_2823662	2021-01-22	North America	Canada	Quebec	A.2.5.2
hCoV-19/Canada/QC-1nKGZ-R8081287/2021	betacoronavirus	EPI_ISL_2823698	2021-02-08	North America	Canada	Quebec	A.2.5.2
hCoV-19/Canada/QC-1nKGZ-R8131315/2021	betacoronavirus	EPI_ISL_2823715	2021-02-13	North America	Canada	Quebec	A.2.5.2
hCoV-19/Canada/QC-1nKGZ-R8130019/2021	betacoronavirus	EPI_ISL_2823717	2021-02-13	North America	Canada	Quebec	A.2.5.2
hCoV-19/Canada/QC-1nKGZ-R8140710/2021	betacoronavirus	EPI_ISL_2823722	2021-02-14	North America	Canada	Quebec	A.2.5.2
hCoV-19/Canada/QC-1nDJXQ-Q6052188C2/2021	betacoronavirus	EPI_ISL_2823832	2021-02-05	North America	Canada	Quebec	A.2.5.2
hCoV-19/Canada/QC-1nIEOQ-7051609813/2021	betacoronavirus	EPI_ISL_2824642	2021-01-18	North America	Canada	Quebec	A.2.5.2
hCoV-19/Canada/QC-1nDJXQ-Q6221750/2021	betacoronavirus	EPI_ISL_2824714	2021-02-22	North America	Canada	Quebec	A.2.5.2
hCoV-19/Guatemala/GUA-LNS-1056/2021	betacoronavirus	EPI_ISL_2825073	2021-01-05	Caribbean	Guatemala	Guatemala	A.2.5.1
hCoV-19/Guatemala/GUA-LNS-1057/2021	betacoronavirus	EPI_ISL_2825074	2021-01-05	Caribbean	Guatemala	Guatemala	A.2.5
hCoV-19/USA/CA-CDPH-2000040852/2021	betacoronavirus	EPI_ISL_2826689	2021-02-22	North America	USA	California	A.2.5
hCoV-19/France/PAC-IHU-14960-Nova1M/2021	betacoronavirus	EPI_ISL_2843857	2021-03-01	Europe	France	Provence-Alpes-Cote d'Azur	A.21
hCoV-19/France/PAC-IHU-14962-Nova1M/2021	betacoronavirus	EPI_ISL_2843859	2021-03-04	Europe	France	Provence-Alpes-Cote d'Azur	A.21
hCoV-19/France/PAC-IHU-14966-Nova1M/2021	betacoronavirus	EPI_ISL_2843863	2021-03-05	Europe	France	Provence-Alpes-Cote d'Azur	A.19
hCoV-19/France/PAC-IHU-14967-Nova1M/2021	betacoronavirus	EPI_ISL_2843864	2021-03-06	Europe	France	Provence-Alpes-Cote d'Azur	A.21
hCoV-19/France/PAC-IHU-14969-Nova1M/2021	betacoronavirus	EPI_ISL_2843866	2021-03-07	Europe	France	Provence-Alpes-Cote d'Azur	A.21
hCoV-19/USA/CA-CDPH-3000019388/2021	betacoronavirus	EPI_ISL_2855348	2021-02-17	North America	USA	California	A.2.5
